Name,Quantity,Component
"U1",1," Arduino Uno R3"
"LCD",1," LCD 16 x 2"
"TMP",1," Temperature Sensor [TMP36]"
"PR",1," Photoresistor"
"R2",1,"1 kΩ Resistor"
"P1",1,"250 kΩ Potentiometer"
"R2",1,"220 Ω Resistor"
